sales,discount,profit,total_population,area,population_density,year,month,day_of_week,week_of_year,quarter,is_weekend,is_month_end,profit_margin,per_capita_income,income_to_sales_ratio,income_x_population,osm_supermarkets,osm_transit_hubs,osm_schools_colleges,osm_hospitals,osm_competitor_score,osm_accessibility_score,weather_avg_temp_c,weather_total_rain_mm,weather_avg_humidity,weather_is_monsoon,weather_is_summer,festival_score,is_festival_period,income_x_festival,category_encoded,sub_category_encoded,region_encoded,city_encoded,revenue_band_encoded,festival_name_encoded,festival_impact_encoded,sales_lag_1m,sales_lag_3m,sales_rolling_avg_3m,sales_per_capita,profit_per_capita,sales_per_sq_km,competitor_density,accessibility_per_capita,estimated_rent_per_sqft
1813,0.19,416.99,1506843,4497.0,335.0773849232822,2015,1,1,4,1,0,0,0.23,71000,39.16161059018202,106985853000,5,2,14,91,5,16,22.53,10.6,71.03,0,0,1,1,71000,5,22,3,4,3,22,1,1813.0,1813.0,1813.0,0.0012031777696813802,0.0002767308870267175,0.403157660662664,0.0011118523460084502,0.010618226318203024,40.73
1916,0.21,383.2,1506843,4497.0,335.0773849232822,2015,1,0,5,1,0,0,0.2,71000,37.05636743215031,106985853000,5,2,14,91,5,16,22.53,10.6,71.03,0,0,1,1,71000,5,22,3,4,3,9,1,1813.0,1916.0,1864.5,0.001271532601604812,0.0002543065203209624,0.42606181899043805,0.0011118523460084502,0.010618226318203024,40.73
527,0.23,237.15,2159775,6036.0,357.8156064,2015,1,5,1,1,1,0,0.45,74000,140.41745730550284,159823350000,10,0,31,87,10,31,23.41,9.2,73.84,0,0,0,0,0,2,4,0,5,1,12,3,527.0,527.0,527.0,0.00024400689886678012,0.00010980310449005104,0.08730947647448642,0.0016567263088137839,0.014353346992163537,51.34
772,0.27,54.04,2159775,6036.0,357.8156064,2015,1,3,2,1,0,0,0.07,74000,95.85492227979275,159823350000,10,0,31,87,10,31,23.41,9.2,73.84,0,0,3,1,222000,2,4,4,5,2,21,4,527.0,772.0,649.5,0.0003574446412242016,2.5021124885694112e-05,0.12789927104042412,0.0016567263088137839,0.014353346992163537,51.34
1655,0.2,264.8,2159775,6036.0,357.8156064,2015,1,0,3,1,0,0,0.16,74000,44.71299093655589,159823350000,10,0,31,87,10,31,23.41,9.2,73.84,0,0,3,1,222000,4,11,1,5,0,21,4,1655.0,1655.0,1655.0,0.0007662835249042146,0.00012260536398467435,0.2741882041086812,0.0016567263088137839,0.014353346992163537,51.34
1716,0.3,514.8,2159775,6036.0,357.8156064,2015,1,4,2,1,0,0,0.3,74000,43.12354312354312,159823350000,10,0,31,87,10,31,23.41,9.2,73.84,0,0,3,1,222000,6,5,0,5,0,21,4,1716.0,1716.0,1716.0,0.000794527207695246,0.0002383581623085738,0.28429423459244535,0.0016567263088137839,0.014353346992163537,51.34
1023,0.35,368.28,224329,27.19,8250.422949613829,2015,1,5,1,1,1,0,0.36,91000,88.95405669599218,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,0,0,0,0,3,0,6,2,12,3,1023.0,1023.0,1023.0,0.004560266394447441,0.0016416959020010787,37.62412651710187,0.07355645457888929,0.017830953643978263,61.66
767,0.24,84.37,224329,27.19,8250.422949613829,2015,1,1,4,1,0,0,0.11,91000,118.64406779661017,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,1,1,91000,0,3,3,6,2,22,1,1023.0,767.0,895.0,0.003419085361232832,0.00037609938973561153,28.208900331004045,0.07355645457888929,0.017830953643978263,61.66
2462,0.31,369.3,224329,27.19,8250.422949613829,2015,1,1,2,1,0,0,0.15,91000,36.96181965881397,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,0,0,0,2,10,0,6,3,12,3,2462.0,2462.0,2462.0,0.010974951967868622,0.0016462427951802934,90.54799558661271,0.07355645457888929,0.017830953643978263,61.66
1497,0.12,164.67,224329,27.19,8250.422949613829,2015,1,1,3,1,0,0,0.11,91000,60.78824315297261,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,3,1,273000,3,20,3,6,0,21,4,1497.0,1497.0,1497.0,0.006673234401258866,0.0007340557841384751,55.057006252298635,0.07355645457888929,0.017830953643978263,61.66
1050,0.11,451.5,224329,27.19,8250.422949613829,2015,1,0,5,1,0,0,0.43,91000,86.66666666666667,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,1,1,91000,4,11,3,6,2,9,1,1050.0,1050.0,1050.0,0.0046806253315442945,0.0020126688925640466,38.61713865391688,0.07355645457888929,0.017830953643978263,61.66
798,0.17,311.22,224329,27.19,8250.422949613829,2015,1,6,2,1,1,0,0.39,91000,114.03508771929825,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,3,1,273000,5,14,1,6,2,21,4,798.0,798.0,798.0,0.0035572752519736637,0.001387337348269729,29.34902537697683,0.07355645457888929,0.017830953643978263,61.66
763,0.33,68.67,224329,27.19,8250.422949613829,2015,1,3,2,1,0,0,0.09,91000,119.26605504587155,20413939000,2,0,4,9,2,4,25.73,2.6,70.68,0,0,3,1,273000,5,14,3,6,2,21,4,798.0,763.0,780.5,0.003401254407588854,0.0003061128966829969,28.061787421846265,0.07355645457888929,0.017830953643978263,61.66
2350,0.15,799.0,1064493,2904.0,366.5609504132232,2015,1,1,4,1,0,0,0.34,93000,39.57446808510638,98997849000,1,2,8,100,1,10,24.33,6.1,70.29,0,0,1,1,93000,0,3,3,7,3,22,1,2350.0,2350.0,2350.0,0.002207623723218471,0.0007505920658942802,0.809228650137741,0.0003443526170798898,0.009394143503057324,46.58
1820,0.23,819.0,1064493,2904.0,366.5609504132232,2015,1,5,5,1,1,1,0.45,93000,51.0989010989011,98997849000,1,2,8,100,1,10,24.33,6.1,70.29,0,0,0,0,0,2,15,4,7,3,12,3,1820.0,1820.0,1820.0,0.001709734117556433,0.0007693803529003948,0.6267217630853994,0.0003443526170798898,0.009394143503057324,46.58
827,0.15,49.62,1064493,2904.0,366.5609504132232,2015,1,6,1,1,1,0,0.06,93000,112.4546553808948,98997849000,1,2,8,100,1,10,24.33,6.1,70.29,0,0,0,0,0,2,4,4,7,2,12,3,1820.0,827.0,1323.5,0.0007768956677028407,4.6613740062170436e-05,0.2847796143250689,0.0003443526170798898,0.009394143503057324,46.58
851,0.18,374.44,1064493,2904.0,366.5609504132232,2015,1,5,1,1,1,0,0.44,93000,109.28319623971798,98997849000,1,2,8,100,1,10,24.33,6.1,70.29,0,0,0,0,0,4,12,0,7,2,12,3,851.0,851.0,851.0,0.0007994416121101783,0.00035175430932847843,0.2930440771349862,0.0003443526170798898,0.009394143503057324,46.58
1520,0.22,243.2,1879809,5129.0,366.5059465782804,2015,1,1,3,1,0,0,0.16,76000,50.0,142865484000,0,2,9,47,0,11,22.4,7.1,68.13,0,0,3,1,228000,1,13,4,8,0,21,4,1520.0,1520.0,1520.0,0.000808592787884301,0.00012937484606148815,0.2963540651199064,0.0,0.005851658333373231,38.68
663,0.3,92.82,1879809,5129.0,366.5059465782804,2015,1,4,2,1,0,0,0.14,76000,114.63046757164405,142865484000,0,2,9,47,0,11,22.4,7.1,68.13,0,0,3,1,228000,2,15,0,8,1,21,4,663.0,663.0,663.0,0.00035269540682058653,4.9377356954882114e-05,0.12926496393059075,0.0,0.005851658333373231,38.68
2325,0.18,813.75,1879809,5129.0,366.5059465782804,2015,1,1,4,1,0,0,0.35,76000,32.68817204301075,142865484000,0,2,9,47,0,11,22.4,7.1,68.13,0,0,1,1,76000,2,9,4,8,3,22,1,663.0,2325.0,1494.0,0.001236827784099342,0.0004328897244347697,0.45330473776564634,0.0,0.005851658333373231,38.68
1350,0.34,499.5,1879809,5129.0,366.5059465782804,2015,1,0,5,1,0,0,0.37,76000,56.2962962962963,142865484000,0,2,9,47,0,11,22.4,7.1,68.13,0,0,1,1,76000,5,14,3,8,0,9,1,1350.0,1350.0,1350.0,0.0007181580681867147,0.0002657184852290844,0.2632092025736011,0.0,0.005851658333373231,38.68
666,0.29,133.2,3038252,3710.0,818.9358490566037,2015,1,0,5,1,0,0,0.2,95000,142.64264264264264,288633940000,21,2,16,244,21,18,24.2,2.4,70.84,0,0,1,1,95000,1,21,0,9,1,9,1,666.0,666.0,666.0,0.0002192049902378078,4.3840998047561554e-05,0.17951482479784367,0.005660377358490566,0.005924459195616427,60.79
2152,0.1,430.4,3038252,3710.0,818.9358490566037,2015,1,4,3,1,0,0,0.2,95000,44.1449814126394,288633940000,21,2,16,244,21,18,24.2,2.4,70.84,0,0,4,1,380000,5,22,1,9,3,8,4,2152.0,2152.0,2152.0,0.0007083020104981417,0.00014166040209962833,0.5800539083557952,0.005660377358490566,0.005924459195616427,60.79
1442,0.27,187.46,3038252,3710.0,818.9358490566037,2015,1,6,2,1,1,0,0.13,95000,65.88072122052705,288633940000,21,2,16,244,21,18,24.2,2.4,70.84,0,0,3,1,285000,6,5,3,9,0,21,4,1442.0,1442.0,1442.0,0.00047461500889327154,6.16999511561253e-05,0.3886792452830189,0.005660377358490566,0.005924459195616427,60.79
1401,0.31,462.33,289916,36.0,8053.222222222223,2015,1,1,3,1,0,0,0.33,91000,64.9536045681656,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,3,1,273000,1,13,3,10,0,21,4,1401.0,1401.0,1401.0,0.004832434222326467,0.001594703293367734,38.916666666666664,0.19444444444444445,0.04484057451123774,67.54
2318,0.29,324.52,289916,36.0,8053.222222222223,2015,1,1,2,1,0,0,0.14,91000,39.25798101811907,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,0,0,0,2,9,3,10,3,12,3,2318.0,2318.0,2318.0,0.007995419362849929,0.00111935871079899,64.38888888888889,0.19444444444444445,0.04484057451123774,67.54
1685,0.32,707.7,289916,36.0,8053.222222222223,2015,1,2,2,1,0,0,0.42,91000,54.00593471810089,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,3,1,273000,3,18,3,10,0,21,4,1685.0,1685.0,1685.0,0.005812028311648891,0.0024410518908925347,46.80555555555556,0.19444444444444445,0.04484057451123774,67.54
2262,0.1,791.7,289916,36.0,8053.222222222223,2015,1,4,5,1,0,0,0.35,91000,40.229885057471265,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,0,0,0,4,19,0,10,3,12,3,2262.0,2262.0,2262.0,0.007802259964955366,0.0027307909877343785,62.833333333333336,0.19444444444444445,0.04484057451123774,67.54
1906,0.33,457.44,289916,36.0,8053.222222222223,2015,1,4,5,1,0,0,0.24,91000,47.74396642182581,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,0,0,0,4,12,0,10,3,12,3,2262.0,1906.0,2084.0,0.006574318078339933,0.001577836338801584,52.94444444444444,0.19444444444444445,0.04484057451123774,67.54
1272,0.16,139.92,289916,36.0,8053.222222222223,2015,1,1,4,1,0,0,0.11,91000,71.54088050314465,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,1,1,91000,4,17,0,10,0,22,1,1906.0,1272.0,1813.3333333333333,0.004387477752176493,0.0004826225527394141,35.333333333333336,0.19444444444444445,0.04484057451123774,67.54
2262,0.2,520.26,289916,36.0,8053.222222222223,2015,1,5,1,1,1,0,0.23,91000,40.229885057471265,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,0,0,0,5,22,0,10,3,12,3,2262.0,2262.0,2262.0,0.007802259964955366,0.0017945197919397343,62.833333333333336,0.19444444444444445,0.04484057451123774,67.54
1903,0.11,666.05,289916,36.0,8053.222222222223,2015,1,1,3,1,0,0,0.35,91000,47.81923279033106,26382356000,7,1,12,84,7,13,25.67,2.6,69.19,0,0,3,1,273000,6,16,3,10,3,21,4,1903.0,1903.0,1903.0,0.006563970253452725,0.0022973895887084535,52.861111111111114,0.19444444444444445,0.04484057451123774,67.54
2041,0.12,326.56,1726601,3420.0,504.8540935672515,2015,1,4,2,1,0,0,0.16,89000,43.60607545320921,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,3,1,267000,1,21,1,11,3,21,4,2041.0,2041.0,2041.0,0.0011820912880277494,0.0001891346060844399,0.5967836257309942,0.0008771929824561404,0.009266761689585491,48.7
1393,0.3,431.83,1726601,3420.0,504.8540935672515,2015,1,1,4,1,0,0,0.31,89000,63.890882986360374,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,1,1,89000,1,21,3,11,0,22,1,2041.0,1393.0,1717.0,0.0008067874395995369,0.0002501041062758564,0.40730994152046784,0.0008771929824561404,0.009266761689585491,48.7
1367,0.13,136.7,1726601,3420.0,504.8540935672515,2015,1,1,3,1,0,0,0.1,89000,65.10607168983175,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,3,1,267000,3,0,3,11,0,21,4,1367.0,1367.0,1367.0,0.0007917289518539605,7.917289518539605e-05,0.3997076023391813,0.0008771929824561404,0.009266761689585491,48.7
2312,0.26,485.52,1726601,3420.0,504.8540935672515,2015,1,2,4,1,0,0,0.21,89000,38.49480968858131,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,1,1,89000,3,7,3,11,3,22,1,1367.0,2312.0,1839.5,0.0013390470641451036,0.00028119988347047174,0.6760233918128655,0.0008771929824561404,0.009266761689585491,48.7
1541,0.23,600.99,1726601,3420.0,504.8540935672515,2015,1,0,3,1,0,0,0.39,89000,57.754704737183644,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,3,1,267000,4,12,0,11,0,21,4,1541.0,1541.0,1541.0,0.0008925049852282026,0.00034807694423899906,0.4505847953216374,0.0008771929824561404,0.009266761689585491,48.7
1018,0.19,142.52,1726601,3420.0,504.8540935672515,2015,1,6,2,1,1,0,0.14,89000,87.42632612966601,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,3,1,267000,5,8,3,11,2,21,4,1018.0,1018.0,1018.0,0.0005895977124998769,8.254367974998278e-05,0.2976608187134503,0.0008771929824561404,0.009266761689585491,48.7
770,0.13,192.5,1726601,3420.0,504.8540935672515,2015,1,4,2,1,0,0,0.25,89000,115.58441558441558,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,3,1,267000,6,5,1,11,2,21,4,770.0,770.0,770.0,0.0004459629063113018,0.00011149072657782544,0.22514619883040934,0.0008771929824561404,0.009266761689585491,48.7
2431,0.1,121.55,1726601,3420.0,504.8540935672515,2015,1,0,5,1,0,0,0.05,89000,36.610448375154256,153667489000,3,2,14,82,3,16,23.92,9.3,72.13,0,0,1,1,89000,6,5,3,11,3,9,1,770.0,2431.0,1600.5,0.0014079686042113957,7.039843021056978e-05,0.7108187134502923,0.0008771929824561404,0.009266761689585491,48.7
2370,0.13,971.7,88430,30.36,2912.7140974967065,2015,1,1,5,1,0,0,0.41,84000,35.44303797468354,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,0,0,0,0,1,4,12,3,12,3,2370.0,2370.0,2370.0,0.0268008594368427,0.010988352369105508,78.06324110671937,0.1976284584980237,0.24878434920275927,56.06
1883,0.1,301.28,88430,30.36,2912.7140974967065,2015,1,3,3,1,0,0,0.16,84000,44.60966542750929,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,4,1,336000,0,1,3,12,3,8,4,2370.0,1883.0,2126.5,0.021293678615854347,0.0034069885785366952,62.02239789196311,0.1976284584980237,0.24878434920275927,56.06
743,0.13,74.3,88430,30.36,2912.7140974967065,2015,1,0,4,1,0,0,0.1,84000,113.05518169582773,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,1,1,84000,1,13,4,12,1,22,1,743.0,743.0,743.0,0.008402125975347733,0.0008402125975347732,24.472990777338605,0.1976284584980237,0.24878434920275927,56.06
1785,0.29,624.75,88430,30.36,2912.7140974967065,2015,1,1,4,1,0,0,0.35,84000,47.05882352941177,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,1,1,84000,1,21,0,12,3,22,1,743.0,1785.0,1264.0,0.02018545742395115,0.007064910098382901,58.794466403162055,0.1976284584980237,0.24878434920275927,56.06
1768,0.13,353.6,88430,30.36,2912.7140974967065,2015,1,1,4,1,0,0,0.2,84000,47.51131221719457,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,1,1,84000,1,21,3,12,3,22,1,1785.0,1768.0,1432.0,0.01999321497229447,0.003998642994458894,58.23451910408432,0.1976284584980237,0.24878434920275927,56.06
1398,0.12,139.8,88430,30.36,2912.7140974967065,2015,1,4,3,1,0,0,0.1,84000,60.08583690987125,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,4,1,336000,3,20,1,12,0,8,4,1398.0,1398.0,1398.0,0.015809114553884427,0.001580911455388443,46.047430830039524,0.1976284584980237,0.24878434920275927,56.06
2396,0.35,383.36,88430,30.36,2912.7140974967065,2015,1,1,2,1,0,0,0.16,84000,35.058430717863104,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,0,0,0,4,11,1,12,3,12,3,2396.0,2396.0,2396.0,0.027094877304082325,0.004335180368653172,78.91963109354414,0.1976284584980237,0.24878434920275927,56.06
2122,0.33,530.5,88430,30.36,2912.7140974967065,2015,1,0,5,1,0,0,0.25,84000,39.58529688972667,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,1,1,84000,4,17,3,12,3,9,1,2396.0,2122.0,2259.0,0.02399638131855705,0.005999095329639262,69.89459815546772,0.1976284584980237,0.24878434920275927,56.06
1767,0.33,406.41,88430,30.36,2912.7140974967065,2015,1,1,3,1,0,0,0.23,84000,47.53820033955857,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,3,1,252000,5,14,1,12,3,21,4,1767.0,1767.0,1767.0,0.019981906592785256,0.004595838516340609,58.201581027667984,0.1976284584980237,0.24878434920275927,56.06
1022,0.18,439.46,88430,30.36,2912.7140974967065,2015,1,5,2,1,1,0,0.43,84000,82.1917808219178,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,3,1,252000,5,14,4,12,2,21,4,1767.0,1022.0,1394.5,0.011557163858419088,0.0049695804591202075,33.6627140974967,0.1976284584980237,0.24878434920275927,56.06
1556,0.17,482.36,88430,30.36,2912.7140974967065,2015,1,1,2,1,0,0,0.31,84000,53.98457583547558,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,0,0,0,6,6,0,12,0,12,3,1556.0,1556.0,1556.0,0.017595838516340608,0.005454709940065589,51.25164690382082,0.1976284584980237,0.24878434920275927,56.06
1354,0.12,176.02,88430,30.36,2912.7140974967065,2015,1,0,5,1,0,0,0.13,84000,62.0384047267356,7428120000,6,1,21,17,6,22,14.16,8.3,77.55,0,0,1,1,84000,6,16,3,12,0,9,1,1556.0,1354.0,1455.0,0.01531154585547891,0.0019905009612122583,44.59815546772069,0.1976284584980237,0.24878434920275927,56.06
